灰度直方图统计结果

灰度值	频率	归一化频率

33	6	0.000014
34	7	0.000016
35	22	0.000050
36	32	0.000073
37	37	0.000084
38	71	0.000161
39	107	0.000243
40	113	0.000256
41	169	0.000383
42	184	0.000417
43	288	0.000653
44	302	0.000685
45	392	0.000889
46	349	0.000792
47	338	0.000767
48	374	0.000848
49	390	0.000885
50	441	0.001000
51	485	0.001100
52	489	0.001109
53	526	0.001193
54	552	0.001252
55	508	0.001152
56	589	0.001336
57	658	0.001492
58	617	0.001399
59	672	0.001524
60	721	0.001635
61	701	0.001590
62	762	0.001728
63	735	0.001667
64	733	0.001663
65	752	0.001706
66	785	0.001780
67	756	0.001715
68	806	0.001828
69	772	0.001751
70	767	0.001740
71	712	0.001615
72	694	0.001574
73	720	0.001633
74	740	0.001678
75	711	0.001613
76	685	0.001554
77	743	0.001685
78	672	0.001524
79	689	0.001563
80	674	0.001529
81	659	0.001495
82	691	0.001567
83	717	0.001626
84	691	0.001567
85	706	0.001601
86	687	0.001558
87	688	0.001560
88	707	0.001604
89	720	0.001633
90	757	0.001717
91	669	0.001517
92	710	0.001610
93	724	0.001642
94	808	0.001833
95	761	0.001726
96	781	0.001771
97	805	0.001826
98	765	0.001735
99	735	0.001667
100	703	0.001594
101	664	0.001506
102	716	0.001624
103	700	0.001588
104	680	0.001542
105	793	0.001799
106	716	0.001624
107	773	0.001753
108	754	0.001710
109	850	0.001928
110	781	0.001771
111	817	0.001853
112	855	0.001939
113	895	0.002030
114	954	0.002164
115	940	0.002132
116	925	0.002098
117	926	0.002100
118	961	0.002180
119	936	0.002123
120	973	0.002207
121	989	0.002243
122	1118	0.002536
123	1233	0.002797
124	1082	0.002454
125	1109	0.002515
126	1113	0.002524
127	1142	0.002590
128	1162	0.002636
129	1158	0.002626
130	1163	0.002638
131	1182	0.002681
132	1181	0.002679
133	1274	0.002890
134	1216	0.002758
135	1181	0.002679
136	1178	0.002672
137	1225	0.002778
138	1195	0.002710
139	1302	0.002953
140	1400	0.003175
141	1284	0.002912
142	1419	0.003218
143	1445	0.003277
144	1401	0.003178
145	1459	0.003309
146	1548	0.003511
147	1619	0.003672
148	1688	0.003829
149	1681	0.003813
150	1832	0.004155
151	1831	0.004153
152	2049	0.004647
153	1920	0.004355
154	1997	0.004529
155	2195	0.004978
156	2125	0.004820
157	2139	0.004851
158	2208	0.005008
159	2338	0.005303
160	2315	0.005251
161	2390	0.005421
162	2371	0.005378
163	2370	0.005375
164	2499	0.005668
165	2488	0.005643
166	2533	0.005745
167	2643	0.005995
168	2886	0.006546
169	2964	0.006723
170	3031	0.006875
171	3233	0.007333
172	3601	0.008167
173	3760	0.008528
174	4069	0.009229
175	4696	0.010651
176	5102	0.011572
177	5577	0.012649
178	5938	0.013468
179	7207	0.016346
180	7085	0.016070
181	6330	0.014357
182	6398	0.014511
183	7735	0.017544
184	8127	0.018433
185	7695	0.017453
186	7916	0.017954
187	8932	0.020259
188	9265	0.021014
189	9187	0.020837
190	8965	0.020334
191	9583	0.021735
192	9641	0.021867
193	10384	0.023552
194	10690	0.024246
195	12452	0.028242
196	16822	0.038154
197	15505	0.035167
198	13535	0.030699
199	3106	0.007045
200	1858	0.004214
201	1363	0.003091
202	1078	0.002445
203	973	0.002207
204	915	0.002075
205	885	0.002007
206	831	0.001885
207	818	0.001855
208	789	0.001790
209	854	0.001937
210	792	0.001796
211	803	0.001821
212	887	0.002012
213	885	0.002007
214	820	0.001860
215	824	0.001869
216	855	0.001939
217	780	0.001769
218	762	0.001728
219	810	0.001837
220	796	0.001805
221	753	0.001708
222	748	0.001697
223	764	0.001733
224	714	0.001619
225	711	0.001613
226	691	0.001567
227	732	0.001660
228	689	0.001563
229	718	0.001629
230	709	0.001608
231	744	0.001687
232	735	0.001667
233	786	0.001783
234	838	0.001901
235	771	0.001749
236	864	0.001960
237	845	0.001917
238	928	0.002105
239	1054	0.002391
240	1125	0.002552
241	1348	0.003057
242	1461	0.003314
243	1487	0.003373
244	1751	0.003971
245	1748	0.003965
246	1525	0.003459
247	1392	0.003157
248	1426	0.003234
249	1479	0.003355
250	1585	0.003595
251	1715	0.003890
252	2022	0.004586
253	2516	0.005707
254	5221	0.011842
255	4975	0.011284

统计信息：
总像素数：440896
最大频率：16822
平均灰度值：174.487383
